PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,total_spend,group,is_alone,deck,Name_length,nl_short,has_spent,RoomServiceBin,FoodCourtBin,ShoppingMallBin,SpaBin,VRDeckBin,places_spent,total_spend_log,RoomServiceLog,FoodCourtLog,ShoppingMallLog,SpaLog,VRDeckLog,AgeBin
0008_02,0,1,B/1/P,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True,0.0,0008,0,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0008_03,0,0,B/1/P,2,45.0,0.0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,8157.0,0008,0,1,13.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3,1,3,2,2,2,3
0009_01,2,0,F/1/P,0,32.0,0.0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,1309.0,0009,1,5,12.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3,1,0,3,0,2,2
0010_01,1,0,G/1/S,0,48.0,0.0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,809.0,0010,1,6,14.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2,2,0,1,0,1,3
0011_01,1,0,F/2/P,0,28.0,0.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,1003.0,0011,1,5,15.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3,0,2,1,0,0,2
0012_01,1,0,,0,31.0,0.0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,908.0,0012,1,6,13.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2,1,0,2,0,0,2
0014_01,2,0,F/3/P,2,27.0,0.0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,False,1408.0,0014,1,5,11.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3,3,2,0,0,0,1
0015_01,1,0,F/4/P,2,24.0,0.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,638.0,0015,1,5,15.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2,0,0,0,0,2,1
0016_01,2,1,F/5/P,0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,0.0,0016,1,5,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3
0017_01,1,0,G/0/P,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,0.0,0017,0,6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0017_02,1,0,F/6/P,2,14.0,0.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,1092.0,0017,0,5,15.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3,2,0,0,0,2,0
0020_01,1,1,E/0/S,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,0.0,0020,0,4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0020_02,1,1,E/0/S,2,49.0,0.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,0.0,0020,0,4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3
0020_03,1,1,E/0/S,2,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False,0.0,0020,0,4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0020_04,1,0,E/0/S,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,0.0,0020,0,4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0020_05,1,1,E/0/S,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False,0.0,0020,0,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0020_06,1,0,E/0/S,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,0.0,0020,0,4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0022_01,2,0,D/0/P,0,21.0,0.0,980.0,2.0,69.0,0.0,0.0,,False,1051.0,0022,1,3,10.315483119906869,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3,2,0,1,0,0,1
0024_01,0,1,C/2/S,0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True,0.0,0024,1,2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3
0025_01,1,0,F/6/S,0,15.0,0.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,1223.0,0025,1,5,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3,0,2,0,2,0,0
0026_01,0,0,C/0/P,2,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,7861.0,0026,1,2,15.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3,1,3,0,3,2,2
0028_01,2,0,F/8/P,0,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,1309.0,0028,1,5,10.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3,3,0,2,1,0,3
0030_01,1,0,G/4/S,0,32.0,0.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,1821.0,0030,1,6,16.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,3,0,2,1,2,2,2
0031_01,2,0,F/9/P,0,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,2854.0,0031,0,5,12.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3,2,0,3,0,3,3
0031_02,2,0,F/9/P,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,0.0,0031,0,5,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0031_03,2,0,F/9/P,0,20.0,0.0,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,True,2740.0,0031,0,5,12.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3,0,0,3,2,0,1
0034_01,0,1,D/1/S,2,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,0.0,0034,1,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0035_01,2,0,D/1/P,2,23.0,0.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,2699.0,0035,1,3,10.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,3,2,2,0,2,0,1
0036_01,1,0,F/8/S,2,15.0,0.0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,961.0,0036,1,5,14.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,2,0,2,1,1,2,0
0038_01,1,0,F/10/S,2,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,3355.0,0038,1,5,13.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,3,2,2,0,3,0,1
0039_01,1,1,G/1/P,2,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False,0.0,0039,1,6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0041_01,1,1,G/2/P,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,0.0,0041,1,6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0043_01,0,0,B/3/P,0,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,3575.0,0043,1,1,18.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,3,0,2,1,3,2,3
0044_01,1,1,G/3/P,0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,0.0,0044,0,6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3
0044_02,1,1,G/3/P,2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,0.0,0044,0,6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0044_03,1,1,G/3/P,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,0.0,0044,0,6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
0045_01,2,0,F/10/P,0,21.0,0.0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,1214.0,0045,0,5,12.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3,2,0,2,0,1,1
0045_02,2,1,F/10/P,0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,0.0,0045,0,5,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0050_01,1,0,E/1/S,2,35.0,0.0,790.0,0.0,0.0,0.0,0.0,Sony Lancis,False,790.0,0050,1,4,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2,2,0,0,0,0,2
0051_01,1,0,E/2/S,0,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,1618.0,0051,1,4,16.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3,0,2,0,3,2,3
0052_01,1,0,G/6/S,0,32.21875,0.0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,4689.0,0052,1,6,16.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3,0,0,0,3,0,2
0053_01,1,0,F/11/S,0,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,1939.0,0053,1,5,15.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3,0,0,3,0,0,1
0056_01,0,0,A/1/S,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,0.0,0056,0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0056_02,0,1,A/1/S,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,0.0,0056,0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0056_03,0,0,A/1/S,0,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,4547.0,0056,0,0,16.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3,2,2,3,2,0,1
0058_01,1,1,G/7/S,1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,0.0,0058,1,6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0061_01,1,0,F/12/S,0,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,2667.0,0061,1,5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3,1,3,2,3,0,1
0062_01,1,0,F/13/S,0,62.0,0.0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,634.0,0062,1,5,14.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2,0,2,0,1,1,3
0064_01,2,1,F/14/S,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0064,0,5,10.315483119906869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0064_02,2,1,E/3/S,0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True,0.0,0064,0,4,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0066_01,1,0,G/6/P,0,62.0,0.0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,811.0,0066,1,6,16.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2,0,2,2,0,2,3
0067_01,1,1,G/10/S,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,0.0,0067,0,6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0067_02,1,0,G/10/S,0,18.0,0.0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,705.0,0067,0,6,13.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,2,0,2,2,0,0,0
0067_03,1,0,F/15/S,2,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,2007.0,0067,0,5,13.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3,3,1,0,0,1,1
0068_01,2,0,E/4/S,0,32.0,0.0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False,1048.0,0068,1,4,11.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3,2,0,0,2,0,2
0069_01,1,0,F/16/S,0,42.0,0.0,887.0,0.0,9.0,6.0,0.0,,True,902.0,0069,1,5,14.591192170818506,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2,2,0,0,0,0,3
0070_01,1,0,F/13/P,0,19.0,0.0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,False,922.0,0070,1,5,15.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,2,2,0,0,0,2,0
0071_01,1,0,F/14/P,0,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,False,2233.0,0071,1,5,14.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3,1,3,0,0,1,0
0072_01,1,0,F/17/S,0,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,False,1064.0,0072,1,5,16.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3,0,0,0,0,3,0
0073_01,2,0,D/3/P,1,37.0,0.0,46.0,83.0,738.0,0.0,12.0,Gorn Make,False,879.0,0073,1,3,9.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,2,1,1,2,0,1,2
0074_01,0,0,C/3/S,0,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,True,8904.0,0074,1,2,16.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,3,0,3,0,0,2,3
0076_01,2,0,F/18/S,0,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,True,1165.0,0076,1,5,8.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3,2,0,3,0,0,1
0077_01,2,0,F/15/P,0,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,True,1309.0,0077,1,5,9.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3,1,0,3,0,0,2
0078_01,0,0,C/4/S,0,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,False,15815.0,0078,1,2,15.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,4,0,3,0,2,3,2
0081_01,1,1,G/13/S,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False,0.0,0081,1,6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0082_01,2,0,F/16/P,0,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,False,7406.0,0082,0,5,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3,3,0,0,0,0,3
0082_02,2,1,F/16/P,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True,0.0,0082,0,5,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0082_03,2,0,F/16/P,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,0.0,0082,0,5,10.315483119906869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0084_01,1,0,G/14/S,0,24.0,0.0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,True,705.0,0084,1,6,17.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2,2,0,0,0,1,1
0085_01,0,1,C/5/S,0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True,0.0,0085,1,2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3
0086_01,1,0,F/17/P,0,43.0,0.0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,False,1362.0,0086,1,5,12.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3,2,0,0,2,2,3
0088_01,2,1,E/5/S,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True,0.0,0088,1,4,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3
0090_01,1,1,G/15/S,0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True,0.0,0090,1,6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0091_01,1,1,G/16/S,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,True,0.0,0091,0,6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
0091_02,1,0,F/20/S,0,27.0,0.0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,False,917.0,0091,0,5,14.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2,0,2,1,2,0,1
0092_01,1,0,G/9/P,0,19.0,0.0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,False,705.0,0092,0,6,14.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,2,0,0,2,0,1,0
0092_02,1,1,G/9/P,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stald Hewson,True,0.0,0092,0,6,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0092_03,1,1,G/9/P,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True,0.0,0092,0,6,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0097_01,0,0,A/2/S,0,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,False,1848.0,0097,1,0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3,0,3,0,0,2,3
0098_01,1,0,G/11/P,0,26.0,0.0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,False,893.0,0098,0,6,15.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2,0,2,0,1,0,1
0098_02,1,0,G/11/P,0,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,True,3855.0,0098,0,6,16.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3,0,3,2,0,1,1
0099_01,1,0,F/19/P,1,23.0,0.0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,False,1301.0,0099,0,5,17.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3,2,2,2,1,0,1
0099_02,1,1,G/12/P,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True,0.0,0099,0,6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0101_01,2,1,,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Book Trad,True,0.0,0101,1,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0102_01,1,0,F/23/S,0,18.0,0.0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,False,921.0,0102,1,5,13.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2,0,0,0,2,1,0
0103_01,1,0,F/24/S,0,24.0,0.0,0.0,0.0,0.0,0.0,17.0,Arlen Mclainez,True,17.0,0103,0,5,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,1
0103_02,1,1,G/18/S,2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True,0.0,0103,0,6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0103_03,1,1,G/18/S,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False,0.0,0103,0,6,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0105_01,1,0,F/21/P,0,27.0,0.0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,False,703.0,0105,1,5,16.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,2,0,0,2,0,2,1
0107_01,2,0,D/2/S,0,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,False,1765.0,0107,1,3,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3,3,0,1,0,0,1
0108_01,1,1,G/19/S,0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False,0.0,0108,0,6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
0108_02,1,0,G/19/S,0,31.0,0.0,562.0,0.0,326.0,0.0,0.0,,False,888.0,0108,0,6,14.591192170818506,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2,2,0,2,0,0,2
0108_03,1,0,G/19/S,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True,0.0,0108,0,6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
0110_01,0,0,,0,32.0,0.0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,False,5109.0,0110,0,1,17.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,3,0,2,0,3,2,2
0110_02,0,0,B/5/P,0,40.0,0.0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,False,2018.0,0110,0,1,15.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3,0,2,0,0,3,3
0110_03,0,0,B/5/P,0,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,True,15940.0,0110,0,1,17.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4,3,4,0,3,2,3
0110_04,0,1,B/5/P,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True,0.0,0110,0,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0111_01,0,1,E/6/S,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True,0.0,0111,1,4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0112_01,0,0,B/1/S,2,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,True,2654.0,0112,1,1,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,3,0,3,1,1,1,3
0113_01,1,0,F/23/P,0,64.0,0.0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,True,804.0,0113,1,5,12.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,0,0,2,0,0,3
0114_01,1,0,G/20/S,0,27.0,0.0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,False,907.0,0114,1,6,15.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2,1,2,2,2,0,1
0115_01,2,1,F/24/P,0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Rohs Pead,True,0.0,0115,1,5,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1
0116_01,0,0,D/4/P,0,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,True,2640.0,0116,1,3,15.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3,0,3,0,1,2,2
0119_01,2,0,A/0/P,0,39.0,0.0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,False,9307.0,0119,0,0,12.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3,0,3,0,1,3,3
0119_02,0,1,A/0/P,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,True,0.0,0119,0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
